text,target,num_characters,num_words,num_sentences
"It's nice to think about, but when big institutions operate in the stock market, they usually have their picks in advance. There's no way retail investors can get that information",0,150,35,2
"Ganesh Chaturthi @VISHAL BUY 1 GET 1 FREE- Mens Jeans,Tshirt Ladies Kurta,Tshirt Kids Jeans,Frock + 2kg Sugar FREE on 1500 + 5% BACK on SBI",1,115,33,1
My mother has doctor appointment at 1 pm.,0,34,9,1
"Guys It is 30 Nov , Not 31st ??",0,23,10,2
How was your weekend ??,0,19,6,2
Selling LLOYDS was well-timed,0,26,4,1
"The stock market is in a downward trend, and undervalued stocks are more likely to riseÃ°ÂÂÂ",0,80,17,1
The S&P 500 index is already approaching the all time high it set last month,0,62,17,1
"I just called and for 2 min it was ringing,",0,34,11,1
Hi team I'll be joining late today by 10,0,32,10,1
"Congratulations! Your, Rs.719.0 recharge offers you FREE 83 DAYS of access to live sports, blockbusters hits like Naalaam Mura, Aanandam Paramanandam, Shefeekkinte Santhosham.Stream now. https://open.airtelxstream.in/WCF719ii",1,201,33,3
Yes what you said is very correct Ã°ÂÂÂ,0,35,8,1
??,0,2,2,2
"Good evening, students of Bajaj Finserv's official group.",0,50,11,1
"Congrats 99467696XX, Rs.5500 in Your Rummy Account Register For FREE Use Code: SPECIAL5500 Play Rummy & Win Cash rp17.in/G31B5-250DFA923",1,118,21,1
There is power cut in our area since 12 am,0,33,10,1
Will join by 10 to 15 mins late,0,24,8,1
The master's predictions about the market in the past two weeks are completely correct. I believe the market may still fall... I will follow your advice and only do short-term trading and low-priced stocks.,0,173,38,3
"Hello! Riya Assistant, please send me a copy of your evening presentation document later. Thank you",0,84,19,3
"Play FREE Rummy & Win Rs.2,00,000 today on Junglee Rummy! Also, Get Rs.5500 Welcome Bonus on first deposit! Download the app now: https://bit.ly/wow5500",1,130,29,3
Hello Your Unlimited pack MRP is expiring on2021-03-19 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,1,108,18,1
So that I can't create a global impact,0,31,9,1
India vs NZ Test Series Finals. Watch LIVE with 1yr Disney+ Hotstar VIP on 401 recharge. Also get 100GB Data+Unlimited Calls for 28days. Click bit.ly/ViHotstar1,1,136,28,4
The current exchange rate fluctuations are quite significant as well.,0,60,11,1
????????????????????????,0,24,24,3
Cloudnine administrator has assigned 1 course to you. These courses need to be completed by 31-07-2021. Please click on the link to start your training. https://cloudnine.medlern.com/dashboard,1,167,31,4
"2. A death cross pattern occurs when the DIF line crosses below the DEA line from above, which may signal a bearish trend",0,99,25,2
"Dear Jithu, we noticed you have been missing out on all the best offers & deals at shoppersstop.com So here's something exclusively for YOU... Click bit.ly/MissFeb Use code F10N5 & get 10% off on your purchase T&C, on min bill of Rs.2000",1,196,49,1
International Market Overview,0,27,3,1
It's a pity that many people in the group didn't keep up with this stock,0,58,17,1
Hello Your Unlimited pack MRP is expiring on2021-07-09 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,1,108,18,1
3GB DATA everyday! Recharge with Rs 901 & get 3GB/Day+48GB Extra Data+Unlimited Calls:84 Days. Also get 1Yr Disney+ Hotstar Mobile. Click bit.ly/ViHotstar12,1,135,25,4
The trend of stock prices rising continuously is an upward trend,0,54,11,1
Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 11th Apr 2021. Click bit.ly/3wBGIWk for TnC,1,141,28,3
Buy1 Get1 FREE with Lenskart Gold Membership. Explore latest Oversized Eyeglasses Collection in Metals & Acetates for Modern Retro Vibe! TnC Visit lskt.me/JRE,1,136,25,3
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 18th Apr 2021. Click bit.ly/3mGelS6 for TnC,1,128,27,3
If we have issues with MDC site we need to write mail to Steve mullan and engage Dxc through mail,0,78,20,1
Okay thank you for the updateÃ°ÂÂÂ,0,32,6,1
"Content Dhamaka Offer! Get access to SONYLiv, EROSnow and 16+ OTTs on Airtel Xstream App at Rs149 for 30 Days. i.airtel.in/RC149",1,108,24,3
"I have tried .. was able talk to Sakti. Line was very clear. Earlier experience might be a technical issue.However, have asked the team to be attentive..",0,127,31,3
+916232014309.vcf (file attached),0,31,5,1
"Thank you for being a valued STYLE UNION customer. Hope you are happy with your purchase. To view your E-Receipt, Click http://bl1.in/DRcphrbvaa STYLUN",1,129,28,3
Ok,0,2,1,1
Sat and Sunday updates on this individual tickets ?,0,43,9,1
I hope this stock hits the upper circuit again tomorrow,0,46,10,1
"Mic Drop Offer- only for 24 hours! Wynk Premium now @Rs 299 for 12 months. Get unlimited downloads, Hello Tunes & ad-free music. Get now https://open.wynk.in/PI2-299",1,140,33,4
"Previously strong in-house stock, shame I didn't buy it",0,47,11,1
Although it may not be that favorable the chances of a Fed rate cut in September are still quite high due to the rising unemployment rate,0,112,26,1
"Best offers for you 1 839=UL call 2GB/D,84D 2 779=UL CL 1.5GB/D,90D 3 719=UL CL 1.5GB/D,84D 4 359=UL CL 2.5GB/D,1M 5 999=UL CL 2.5GB/D,84D 6 699=UL call 3GB/D,56D 7 549=ULCL 2GB/D,56D 8 2999=UL CL 2GB/D, 1Y 9 299=UL call 2GB/D,28D To check your balance, validity, call tariff and best recharges, dial *121*51# or download Airtel Thanks App, click www.airtel.in/5/LBNV",1,309,68,1
This can be considered the rebound phase after holding the support level,0,61,12,1
I can't even operate skype,0,22,6,1
"Hi, we saw that you could not complete your recharge. You can now try again to recharge your Airtel number. Click now i.airtel.in/RechargeNow",1,119,26,3
"Alert! Your Vi Unlimited pack EXPIRES in 6 Days. Recharge with best offers: bit.ly/Vi121NAT 1)299:5GB+4GB/D+UL,28D 2)699:4GB/D+UL,84D",1,118,23,3
Ã Â¤ÂµÃ Â¤Â¿Ã Â¤ÂÃ Â¤Â¯ Ã Â¤Â¬Ã Â¤ÂÃ Â¤Â¾Ã Â¤Â,0,48,10,1
The Psychology of Trends,0,21,4,1
So we don't have power to operate,0,27,8,1
Yes KK,0,5,2,1
Can you give me some suggestions?,0,28,7,1
I've already sold and will wait for the Professor's stock recommendations this afternoon,0,76,15,1
"Weekend Deals at SMART POINT Store,B1G1 B Natural Mix Fruit/Guava Juice,Save Rs 25 on Liril Lime Soap/Cinthol Cool Deo Soap 125gX3,Click bit.ly/386b2Ln T&C",1,133,31,1
"Every Click is rewarding when u shop at Pantaloons! Click tlux.in/mkFkj & Get EXTRA Rs750 OFF on your shopping, Use Code: PT750 TC. on shopping of Rs3499",1,127,31,3
"If you are not satisfied with your current returns, or you are suffering from serious losses, there may be the following reasons",0,107,24,1
The market weakening now is an opportunity for us,0,41,9,1
The Hindenburg report hasn't had a significant impact on the broader market,0,64,13,1
"Wednesday Bonus deals at JioMart,Bangalore! Tomato Rs 12/Kg,Mango Totapuri Rs 19/Kg,Bottle Gourd Rs 19/Kg,Click bit.ly/3dnWQ5D or visit SMART Superstore/SMART Point Store,valid on 30 June T&C",1,167,38,2
Sure jerold,0,10,2,1
I will try through mobile,0,21,5,1
Notice,0,6,1,1
?image omitted,0,13,3,1
"First 30 days FREE of any new Airtel service, just for YOU! Just upgrade to Airtel Black & get OTT + TV Channels + Superfast WiFi. i.airtel.in/blackPreDSL",1,128,30,3
Good for next time ????,0,19,8,3
"Watch Scam 2003 for free! Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE! Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more! Limited time offer. Click Below! open.airtelxstream.in/WatchForFree-sms",1,185,40,6
"Pack on 8089XXX424 will expire soon! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day, UL calls for 84 days at Rs719. i.airtel.in/RechargeNow",1,130,29,3
And tell them that it's already approved by Ranganatha sir.. and also we have email approved,0,77,18,1
"Biggest Karwa Chauth Offer@ VISHAL MEGA MART Sugar 1kg-Rs9 ONLY TODAY! + FREE GIFT-VIP Trolley, Duffle Bag + 7.5% SBI Cashback TnC",1,109,26,2
"Team, I may login little late, got stuck in temple",0,41,12,1
"Congrats, Get Credit Limit up to Rs 4 lakh on American Express Membership Rewards(R) credit card. T&C Apply. Click- http://1kx.in/3DF3kO Team PB",1,123,32,3
Covid cases & lockdown updates - Stay safe & get LIVE news with Manorama news on Vi Movies & TV app! Click bit.ly/Vi-moviess,1,102,24,2
It was for testing purpose. Most of the fields are dummy. However today Dodda reddy sink up with Sai Geetha for correct purpose and procedure. I will co ordinate with Dodda and will create the Document,0,166,39,4
Congralutation! Unlimited Calls 1.5GB/day along with 100 SMS/day has been credited in your account for 28 days. For more best offers call 505,1,119,25,3
Although there has been a recovery it has not been ideal,0,46,11,1
"If I let you bet on me now, betting that I will win the Olympic long-distance running championship, would you dare to betÃ¢ÂÂ",0,105,25,1
2 site handover sare happening,0,26,5,1
However this doesn't affect Reliance Industries' ranking,0,50,9,1
IRFC,0,4,1,1
It has already risen over 7% and reached our second target price,0,53,13,1
Lenskart Diwali Sale! Enjoy Buy 1 Get 1 Free with upto 40% Off on your favourite styles.TnC Shop at lskt.me/z4 or Visit your nearest store lskt.me/u4 now!,1,128,30,2
"Yes, but the assistant said yesterday that he would share the technology tomorrow night.",0,75,16,1
"Welcome to Vi Karnataka . Stay connected with Vi network while you roam. Enjoy free incoming calls on your Mobile number. Outgoing Calls & data will be charged as per your tariff. However if you are on an Unlimited pack, you also enjoy free outgoing calls as well as Data (as per quota), anywhere in India. Please enable Data Roaming to enjoy our superior Data experience. For free ROAMING PROFILE caller tunes, click bit.ly/ROAMi",1,357,84,7
Is there any small Light in touchpad ?,0,31,8,1
Who are on shift now ?,0,17,6,1
Shudnt be a problem,0,16,4,1
"Recently, gold and platinum have risen quite a bit",0,42,10,1
The Federal Reserve is already on the path to cutting rates it's just a matter of when,0,70,18,1
Joined....,0,10,2,1
"Good evening, students in Bajaj Finserv's official group. I am Vijay bajaj, Bajaj Finserv's chief risk assessment expert. Ã°ÂÂ¤ÂWelcome new members to the group. There is less than a month left before the XAI International Securities Trading Competition startsÃ¢ÂÂ. After the competition officially starts, I will use advanced investment techniques and Bajaj Finserv's internal trading strategy to lead everyone to make more than 50% actual profit per week (please all students stay in the group to witness, cheer for us and the country)",0,459,97,5
Will join shortly,0,15,3,1
Please imagine,0,13,2,1
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get FREE Wynk Music and Hellotunes, valid as per current pack open.wynk.in/HTLapu",1,157,36,2
"Thank you, Assistant, for sharing with us even during your break. I will study your content carefully",0,85,20,2
"Team, we have 2 site handover, I would request night shift engg to join call",0,62,17,1
Yes did it,0,8,3,1
The person you were calling at 15:16 is now available to take calls. Click here to call them back i.airtel.in/RMCAAlrt,1,99,21,2
Hi All,0,5,2,1
Upto 50% OFF + BUY1GET1 FREE on Eye & Sunglasses at Lenskart's Father's Day Sale. Offer valid till 20 June. Hurry limited Stocks! TnC Shop lskt.me/FatherDay,1,131,32,4
Kya hua,0,6,2,1
Should the price touch the retracement levels?,0,40,8,1
We are getting this error,0,21,5,1
????,0,4,4,3
Good evening everyone Check in,0,26,5,1
Hello Your Unlimited pack MRP is expiring on2021-09-03 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,1,108,18,1
Hi team,0,6,2,1
"Afghan-Taliban crisis: Watch LIVE updates with Manorama news, NDTV & more on Vi Movies & TV app. Click bit.ly/Vi-moviess1",1,103,22,2
I'm also waiting for the market to improve before adjusting my investment portfolio,0,71,14,1
Have you informed anybody?,0,23,5,1
Yes sir;,0,7,3,1
eRupee 50 Cashback unlocked with Federal Bank Digital Rupee App. Download Now. Click https://fdrl.in/t/sAK1uH for T&C. -Federal Bank,1,115,25,4
Pls join the call,0,14,4,1
"I don't think that should be the case, if it does increase business, that would be a good thing indeed, and on the contrary decrease, wouldn't that be less profitable.",0,138,37,1
So the idea that the Fed will cut rates in September is just market speculation,0,65,15,1
My laptop is taking time to restart,0,29,7,1
"Dear Digi Yatri, Your OTP for Digi Yatra App is 670016 Have a seamless and health-risk-free journey. Thanks, Digi Yatra Foundation wdgq610/72T",1,121,25,2
Kk my network is used up,0,19,6,1
"Dear Customer, Rs.500 to 10 lucky winners & Rs.50 to 1,000 Early Birds as STAR Clubcard points! To share your feedback, click https://bit.ly/3QfJ07p T&C",1,129,31,2
https,0,5,1,1
Now buying a SIM online is quick & easy! Switch to Airtel prepaid from comfort of your home and get the SIM delivered for FREE. Click i.airtel.in/p-ds3,1,125,29,3
Unable to connect internet,0,23,4,1
"And even if after trying the power button for 15 mins, it's not starting",0,59,16,1
I think they forgot that they are in support ??,0,38,11,2
"Its MY SALE MY WAY at shoppersstop.com Enjoy upto 50% OFF + Use Code AC2K & get Rs.250 off on Rs.2500 & Rs.500 off on Rs.4000 Click bit.ly/SS_ESS to shop for your favourite brands in Watches, Bags & Accessories + Get offers on First Citizen Citi credit card & HDFC Bank cards bit.ly/SSEssTC T&C apply",1,246,59,1
Ã°ÂÂÂÃ°ÂÂÂ,0,16,1,1
Miniklub! A one stop shop for all your baby needs. Click the link https://bit.ly/3DN6H0e and get your offer.,1,91,23,3
Restarting my laptop,0,18,3,1
Launching Vi Best offers !!! 299= Unlimited calls +1.5GB/Day 28 days 479= Unlimited calls +1.5GB/Day 56 days To recharge Click bit.ly/ViRC20,1,120,23,3
Joined,0,6,1,1
Thank you bro,0,11,3,1
"Claim upto Rs.250 Cashback! You are eligible for a cashback on first 5 UPI transactions done via Airtel Thanks App, Tnc apply. Click i.airtel.in/PayAndEarn",1,132,27,3
??,0,2,2,2
I will join in 2-3 mins,0,18,6,1
"Anjaam Pathiraa, Uriyadi, Bigil, Kakshi: Amminippilla, Manorama News, LaLiga football matches on MTV & more on Vi Movies & TV app!Click bit.ly/Vi-mv34",1,129,30,1
I shared the progresss,0,19,4,1
""" If u use Fibonacci Retracements level with other concepts confirming like trend line, pivot point, or any dynamic support or resistanceÃÂ willÃÂ beÃÂ better""",0,141,28,1
"I sent mail for Long term WFH, pls reply me ASAP",0,38,12,1
After the release of the Hindenburg study the market began to fall,0,55,12,1
"Welcome to Vi Tamil Nadu . Stay connected with Vi network while you roam. Enjoy free incoming calls on your Mobile number. Outgoing Calls & data will be charged as per your tariff. However if you are on an Unlimited pack, you also enjoy free outgoing calls as well as Data (as per quota), anywhere in India. Please enable Data Roaming to enjoy our superior Data experience. For free ROAMING PROFILE caller tunes, click bit.ly/ROAMi",1,357,85,7
"Since the XAI International Securities Trading Competition is divided into profit ranking and voting ranking, the Bajaj Finserv official group is still recruiting new members. At present, the number of followers of the Bajaj Finserv official group may have exceeded 150,000. This makes me realize that I need to be cautious in every move I make, because I am not investing one person's funds, but the funds of the entire group of students. After the competition starts, I have to ensure that each member can make a profit of more than 30% per week, so that I can get a higher profit ranking, and more people will vote for meÃ¢ÂÂÃ¯Â¸Â",0,527,122,4
"Regarding this point, I want to clarify",0,33,8,1
Oh ok,0,4,2,1
Would you be able to login to shift on time atleast ?,0,42,12,1
I am just informing in case I am late,0,29,9,1
"Dear Customer, Thank you for the transaction done today at SBI 70555 branch. Plz click on the given link to share your experience. https://crcf.sbi.co.in/ccf/home/GetFeedback?TxnDate=041023&TxnType=001060&JNo=20254308824. The feedback may be provided before 8 am tomorrow. No Personal Information would be captured. SBI",1,280,54,6
I am facing some issue,0,18,5,1
Okay no problem,0,13,3,1
How about outlook??,0,17,5,2
It's the start of a new week,0,22,8,1
This technical indicator is really useful. May I ask if the chart above is based on the hourly or daily time frameÃ¯Â¼Â,0,99,23,2
Got it thank you Assistant,0,22,5,1
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get FREE Wynk Music and Hellotuneff and best recharges on Airtel Thanks App. Refer your friends to Airtel & earn Rs100 coupon i.airtel.in/ref",1,206,47,3
Rithika this is acknowledged,0,25,4,1
Lockdown in Kerala from May 8th - Get all LIVE news from the safety of your home with Manorama News on Vi Movies & TV app. Click bit.ly/Vi-newsm2,1,118,29,2
Okay,0,4,1,1
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 29/Kg,Pear Indian Rs 89/Kg,Cabbage Rs 12/Pc,Also at SMART &SMART Point store bit.ly/3yk4kiC 4Aug,TC",1,127,31,1
I have a network issues at home,0,25,7,1
"Dear employee, get Rs. 250 cashback on KYC completion within 3 days and 100% FREE transactions till 31st Dec. To get your hard-earned salary in 30 seconds on Refyne, Sign up & Complete KYC to use the best service weurl.co/BiHiYt Team Refyne",1,199,46,2
"ONLY for U! Double DATA+ZEE5. Recharge with 299, get 1yr ZEE5 subscription, 4GB/Day + Unlimited calls, Val-28days! Offer ends soon. T&C Apply Click bit.ly/Vi-zr",1,137,33,5
It didn't really make much of a difference so maybe the market will still go up tomorrow,0,72,18,1
Trading strategy for tomorrowÃ°ÂÂÂ»,0,34,5,1
"We can only wait for the market to change; there's not much else we can do. If the major funds push up our stocks, that would be perfect",0,109,32,2
"Hi all, good morning I am exiting from this group.... thanks all for support",0,63,16,1
Yes,0,3,1,1
Buying towards the close is a bit more secure,0,37,9,1
Isn't housing and service sector inflation a significant component of the CPI data?,0,71,15,1
"Today is Friday, the last trading day of the week. Will the professor recommend any stocks today? ItÃ¢ÂÂs been three days without making any trades",0,125,28,3
??,0,2,2,2
???????????,0,11,11,3
4,0,1,1,1
Thanks Ranjit for the help,0,22,5,1
"Dear we can offer you to work online & earn 8000-20000/day according to your performance, no time limit, contact: https://wa.me/919678462191 BBKUMR",1,127,26,1
Okay kk,0,6,2,1
"For cricket lovers like you! Watch LIVE T20 matches on any app with up to 30x faster data speeds with Airtel 5G plus. Get extra 12GB with Rs118 data pack, valid as per current pack validity. Click i.airtel.in/data-breacher",1,185,42,4
"Team, having some network issues...will join soon",0,43,10,1
"Top Brands, Pure, Hygienic Milk at best prices available in SMART Point Store,Nandini Tnd Milk500ml Rs18.50,Heritage Tnd Milk500ml Rs 21,Click bit.ly/2T3zdWw TC",1,139,30,1
"Enjoy 4GB data valid till your current pack validity.Also get EXTRA 2GB on your next recharge of Rs65 for your Airtel Mobile, only on Airtel Thanks App. Click i.airtel.in/rech_now",1,151,31,2
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C apply. Claim now u.airtel.in/PVME",1,188,47,3
I think I can understand something,0,29,6,1
+916232014309.vcf (file attached),0,31,5,1
Ok,0,2,1,1
There is some issues in DAL SITE,0,26,7,1
Sure,0,4,1,1
????,0,4,4,3
Recharge & Get 2GB FREE on Airtel Thanks App! Enjoy FREE 2GB data when you recharge with selected Prepaid plans. T&C. Download Thanks App now i.airtel.in/free_2GBdata,1,141,31,4
"Rs 500 cashback + 1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days on Airtel Xstream Fiber. Switch to Airtel Black now, click i.airtel.in/blackPreDSL or call us at 8826655555",1,166,35,2
Is it working ?,0,12,4,1
Good morning everyone Check in,0,26,5,1
There's a lot of content to understand carefully,0,41,9,1
Those who font join today will be marked one LoP in this month,0,50,13,1
Al of sudden,0,10,3,1
I am facing some network issue,0,25,6,1
Anyways I am going.. I thought it good to learn for this project and their future support,0,73,18,2
"Data Alert! 97.05MB left on Data pack, post which std. charges apply or lower speeds as per plan. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",1,126,35,4
I am added in admin list,0,19,6,1
"Weekend Deals @SMART Point Store,Rs 20 OFF Biscuits Large Pk 350g onw,Rs 80 OFF Tide Det Pwdr 4Kg+1Kg,Sarvottam Rice Bran Oil 1l Rs 139,Click bit.ly/2TndiZj T&C",1,135,37,1
You are just 1 STEP away from getting First 30 days FREE of any new Airtel service! Just upgrade to Airtel Black & enjoy OTT + TV Channels + Superfast WiFi. Get Now i.airtel.in/blackPreDSL,1,155,36,3
I will mail him now,0,15,5,1
Hi Ranjith,0,9,2,1
"Nifty is likely to rise before the opening in the morning today, which is good news. Let us witness whether there will be a ""festival effect"" in the stock market today Ã°ÂÂÂÃ¢ÂÂÃ°ÂÂÂ¨",0,159,36,2
"Power went down .. wifi disconnected. Will join ,Once power restored.",0,59,14,2
So it is clear now,0,14,5,1
?This message was deleted.,0,23,6,1
"Watch ZEE5's series Sunflower-Enjoy the thrill, drama & the humor! Get it with Vi Rs405 recharge. Also get 90GB, Unlimited calls for 28 Days! Click bit.ly/Vi-zr",1,135,32,4
Bowman is a Trump appointee and Trump had long wanted to replace Powell but never had the opportunity,0,84,18,1
"Due to pre cyclonic, there is no power. Don't know when will it come.",0,56,18,2
T20! Cricket's Biggest Tournament starts from 19th Sep. Watch LIVE T20 matches daily only on Disney+ Hotstar. Get 1 year Disney+ Hotstar mobile pack with new Vi 501 recharge + 100GB Data (3GB/Day+16GB) + Unlimited Calls; 28Days. Recharge now. Click bit.ly/ViHotstar1,1,226,49,5
Oh ok,0,4,2,1
"Tickets Booked! Download your M-ticket from https://bmsurl.co/VKXzodzIzc and show it at the venue entrance to scan and enter. Here is your Booking ID - WMXXX73 for The Priest (U/A) on Wed, 24 Mar, 2021 09:45pm, at PVR: Vega City, Bannerghatta Road(AUDI 09), Seats: CLASSIC. - D8, D9, D10 Please note that you don't require physical tickets to enter the venue. Don't go hungry! Click here to pre-book your meal: https://bmsurl.co/DEKA6sijvU This transaction can be cancelled up to 20 min(s) before the show as per cinema cancellation policy. In view of the Covid-19 situation, please follow these safety guidelines: bmsurl.co/TLUlJ3uunN",1,537,131,7
"Yes... After last Monday, I feel that investing money has become difficult and confusing",0,75,16,1
I'm going to follow the professor's instructions and buy it today,0,55,13,1
Today's closing is likely to be strong,0,32,8,1
"Hello! We are now on Whatsapp! For Best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",1,105,23,3
My laptop is not swiching on...So i may not be available,0,46,13,1
Actually today is my weak off and I had some plan arranged beforehand,0,57,13,1
Tech stocks and banking stocks remain key sectors for foreign investors to buy and sell,0,73,15,1
At 2,0,3,2,1
"Riya has not replied to me yet, I left a message since last night",0,52,15,1
So will the stock market be red or green tomorrow?,0,41,11,1
"Dear Amazon urgently recruiting for part-time jobs, you can earn 1000-3000Rs every day ,Click here to get yours: wa.me/918858599810 LFPL",1,117,23,1
"Nurses who wish to take up studies in Canada, INSCOL offers you the best programs in Canadian public colleges. Call 0484-4390999",1,108,23,2
Stay Home!Stay Safe!Recharge from home with Phonepe for minimum Rs 149 and get reward vouchers upto Rs500. Click https://phon.pe/vikr,1,115,26,2
Thank u all??,0,11,5,2
"The reason why we didn't sell stocks today is that the market did not form a rapid upward trend as we expected, and panic still exists. More retail investors choose to withdraw at a loss.",0,153,39,2
Awesome,0,7,1,1
The CPI data being close to expectations is just an example of selling the news.,0,66,16,1
Hi team will be joining 15 min late,0,28,8,1
Chennai,0,7,1,1
I will be join little bit late,0,24,7,1
Hi team I successfully screwed up my sim so I need to get a new one tomorrow still it might take 24 hours to activate the nth mean time I am reachable on,0,121,33,1
"Hi team, I might join 30 min late.",0,27,10,1
Do not click on suspicious link or download App which promises fake part /full time jobs.,1,74,17,1
Hi team I'll be joining late today by 10,0,32,10,1
Sure,0,4,1,1
Restarting my laptop,0,18,3,1
Ack,0,3,1,1
Ok,0,2,1,1
Guys please join handover call,0,26,5,1
"Hopefully, I can Power should be back before that",0,41,10,1
This gives a good understanding of the concepts,0,40,8,1
"It's an unplanned power cut due to heavy rain, thundering, lighting and wind",0,64,16,1
Good evening The US insists on waiting until the labor market is completely weakened before it's no longer considered strong,0,105,21,1
"Hello! Get up to 10% cashback on recharge through CRED pay using credit card, simply click https://bit.ly/myvi-app and enjoy the offer.",1,115,27,2
Hi team,0,6,2,1
The labor market's situation is not much better than inflation,0,53,11,1
Enjoy FREE 500 First Citizen Bonus reward points with Shoppers Stop by filling in your details here shsp.in/F01-9946769699 T&C bit.ly/SS_Dtl,1,121,22,1
You're just 1 step away from FREE router! Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer,1,144,34,4
Sorry wrong window,0,16,3,1
Okay,0,4,1,1
He didn't join?,0,13,5,1
Ã°ÂÂÂTrading records on August 13,0,32,5,1
?image omitted,0,13,3,1
"Last chance to save Rs 600 on annual recharge! Recharge now with Rs. 2999 before pack prices go up. Enjoy UL Calls, 2GB/day & 100 SMS/day for 365 days. Hurry now ! i.airtel.in/RCH4G",1,149,38,6
"Recently, the bank stocks have been quite weak and haven't shown any signs of improvement",0,75,17,1
The situation in the Middle East always influences the fluctuations in oil prices,0,69,13,1
Hi Team,0,6,2,1
?This message was deleted.,0,23,6,1
The market closed flat all day today,0,30,7,1
"Buy 1, Get 1 FREE at UNLIMITED Fashion Stores. TnC",1,41,12,2
May be mail server down?,0,20,6,1
Not working in the sense ?,0,21,6,1
"2/2 Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. Claim UNLIMITED 5G data over & above your plan limit, claim on Airtel Thanks App. Also get 1 Xstream channel on Airtel Xstream App for 84 days. To claim, click open.airtelxstream.in/Xstream_Mobile",1,224,51,5
I have always followed the teachings of Professor Anand. Our team just needs to be united and believe that we can overcome everything in the marketÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂ,0,140,27,2
Sure KK,0,6,2,1
Joined,0,6,1,1
"The S&P 500 Index closed higher on Wednesday, marking its fifth consecutive day of gains, as the latest U.S. inflation data reassured investors betting on a Federal Reserve rate cut next month.",0,162,37,1
NIFTY has also broken through. Next week should have a good market outlook. Thank you to the professor for the,0,91,22,3
"You are right, we lack understanding of the market",0,42,10,1
It looks simple but it is actually difficult to do,0,41,10,1
Remately,0,8,1,1
"Have a great weekend everyone, please enjoy your holiday and see you on Sunday night Ã¢ÂÂ¨Ã¯Â¸Â",0,82,17,1
"Weekend deals @SMART POINT store! B1G1 Britannia Cheese Slice Plain 480g,Save Rs 100 on Surf Excel Easy Wash Detergent Powder 4Kg,Click bit.ly/2TfjBxZ T&C",1,132,31,2
Lenskart Online Mega Sale: Buy1Get1 FREE + Upto 40% Off on Eye & Sunglasses! Fresh Stocks Added.TnC Shop lskt.me/MegaSale,1,103,22,2
"Alert! Your Unlimited pack is expiring on 25/11/21 Recharge with 1)299:4GB/D+UL,28D 2)449:4GB/D+UL,56D 3)699:4GB/D+UL,84D Click bit.ly/ViRC20",1,127,22,2
""" Technical analysts classify trends into several broad categories for easy identification. These are primary trends (measured in months or years), secondary or medium-term trends (measured in weeks or months), short-term trends (measured in days) and intraday trends (measured in minutes or hours)""",0,257,55,2
Hello Your Unlimited pack MRP has expired . Now recharge from home with App Click http://bit.ly/GetMVA4,1,88,18,2
????,0,4,4,3
Purchase successful. Thank you to the professor,0,41,8,2
Hi team,0,6,2,1
market reaches 24550 level now ll so we can expect something mew popping up on this weekend to keep market range bound in aug ll technicals shows market will be in range bound for aug ll so we can consider current level as resistance for recent term,0,203,47,1
Thanks I've already sold it,0,23,6,1
Ronnie falgout,0,13,2,1
I am trying both,0,13,4,1
Mr Arvind Singh SMSPHARMA is up 2.5% right now Should it be sold?,0,53,15,1
"We are holding a handover ceremony with the XAI International Securities Trading Competition. The competition is approaching, please prepare all contestants and team members.",0,151,27,2
My laptop is restarting,0,20,4,1
Happy and prosperous new year 2021 to you all and your family.,0,51,13,1
"More reasons to shop for Mens Wear & more from your favourite brands at Shoppers Stop! Upto 50% OFF + Use Code AC2K & get Rs.250 Off on Rs.2500. Shop now for your favourite T-shirts, Formal Wear & more at shsp.in or App + Get 10% cashback with Axis Bank Cards, click bit.ly/SS_ABCB for details. T&C",1,243,65,4
Sure madam this is acknowledged!,0,28,6,1
Firstly technical technical analysis is based on three main assumptions,0,62,10,1
CCIE on discounted prices,0,22,4,1
